"","admit","paes","nem","rank"
"1",0,328,6.4,"2"
"2",1,636,6.5,"2"
"3",1,986,6.8,"4"
"4",1,599,6,"1"
"5",0,441,5.7,"1"
"6",1,910,5.8,"3"
"7",1,504,5.8,"4"
"8",0,344,5.9,"3"
"9",1,486,6.2,"2"
"10",0,587,6.7,"3"
"11",0,668,6.8,"1"
"12",0,376,6,"4"
"13",1,910,6.8,"4"
"14",0,587,5.9,"3"
"15",1,745,6.8,"4"
"16",0,409,6.2,"2"
"17",0,652,6.7,"1"
"18",0,312,5.4,"2"
"19",0,668,6.6,"3"
"20",1,486,6.6,"4"
"21",0,425,6,"2"
"22",1,682,6.4,"3"
"23",0,506,5.6,"1"
"24",0,571,6,"1"
"25",1,910,6.2,"3"
"26",1,986,6.5,"4"
"27",1,622,6.4,"4"
"28",1,468,6.5,"1"
"29",1,962,6,"3"
"30",0,441,6.1,"4"
"31",0,457,6.6,"1"
"32",0,636,6.2,"2"
"33",0,506,6.2,"2"
"34",1,818,6.8,"2"
"35",0,312,5.9,"4"
"36",0,344,5.8,"3"
"37",0,490,6,"4"
"38",0,441,5.7,"2"
"39",1,450,5.9,"3"
"40",1,468,5.5,"2"
"41",0,474,5.2,"3"
"42",1,522,6.1,"3"
"43",1,540,5.9,"3"
"44",0,425,6.1,"2"
"45",0,587,5.7,"3"
"46",1,414,6.3,"2"
"47",1,522,6.3,"3"
"48",0,425,5.8,"1"
"49",0,376,5.3,"1"
"50",0,344,6.2,"2"
"51",0,538,6.7,"2"
"52",0,376,5.9,"1"
"53",0,619,6.2,"1"
"54",1,723,6.1,"3"
"55",0,555,6.1,"2"
"56",1,735,6.8,"2"
"57",0,474,6,"2"
"58",0,328,5.7,"2"
"59",0,344,6.4,"3"
"60",0,506,5.6,"1"
"61",1,622,6,"3"
"62",0,474,6.1,"1"
"63",0,538,6.5,"2"
"64",1,656,6.7,"2"
"65",0,490,6.8,"2"
"66",0,506,6.4,"3"
"67",0,619,6.4,"1"
"68",0,522,6.1,"4"
"69",0,490,6.5,"4"
"70",0,668,6.5,"4"
"71",0,538,6.8,"2"
"72",0,263,5.7,"1"
"73",0,409,6.2,"1"
"74",0,490,6.8,"3"
"75",0,603,6.3,"1"
"76",0,603,6.8,"2"
"77",0,474,6.2,"2"
"78",1,818,6.8,"2"
"79",0,457,5.9,"4"
"80",1,622,6.8,"4"
"81",0,587,5.7,"1"
"82",0,522,5.9,"3"
"83",0,425,5.5,"3"
"84",0,328,5.7,"1"
"85",1,450,6.4,"2"
"86",0,441,5.8,"3"
"87",0,506,6.1,"3"
"88",0,506,6.3,"3"
"89",0,587,6.1,"4"
"90",1,682,6.8,"3"
"91",0,587,6.6,"3"
"92",1,781,6.4,"4"
"93",0,668,6.7,"3"
"94",0,490,5.7,"3"
"95",1,682,6.2,"3"
"96",0,555,6.1,"3"
"97",0,538,6.3,"1"
"98",0,409,6.4,"3"
"99",0,587,5.7,"3"
"100",0,344,6.1,"2"
"101",0,295,5.9,"2"
"102",0,490,6.4,"2"
"103",0,328,6.1,"1"
"104",0,457,6.7,"2"
"105",1,682,6.8,"3"
"106",1,835,5.8,"3"
"107",1,745,6.4,"4"
"108",0,409,5.9,"3"
"109",0,344,5.7,"2"
"110",0,409,6.3,"3"
"111",0,571,5.9,"1"
"112",0,360,6.2,"1"
"113",0,312,5.8,"2"
"114",0,506,6,"4"
"115",0,603,6.6,"2"
"116",0,522,6.8,"2"
"117",1,396,6.3,"3"
"118",0,587,6.5,"3"
"119",1,986,6.5,"4"
"120",0,295,5.7,"2"
"121",1,468,6.5,"3"
"122",1,432,5.5,"3"
"123",0,441,5.7,"2"
"124",0,425,5.8,"2"
"125",0,603,6.7,"2"
"126",0,457,6.2,"1"
